Lon Lat E.vel N.vel E.adj N.adj E.sig N.sig Corr U.vel U.adj U.sig Stat
14.0239 40.7651 0.42 -3.98 18.78 15.35 0.08 0.06 0.001 -0.11 0.31 0.27 IPRO_GPS
14.276 40.87 4.84 -1.9 23.84 17.47 0.19 0.18 0.001 0.37 0.97 0.28 NAP0_GPS
14.1417 40.8209 15.93 3.93 0.0 0.0 0.17 0.13 0.001 27.03 0.0 0.52 ACAE_GPS
14.3434 40.8113 4.02 -2.16 0.0 0.0 0.06 0.07 0.001 -0.9 0.0 0.3 AGR1_GPS
13.9346 40.7361 1.4 -4.16 0.0 0.0 0.08 0.07 0.001 -3.89 0.0 0.38 AQMO_GPS
13.8557 40.7369 3.46 -3.48 0.0 0.0 0.08 0.07 0.001 -1.76 0.0 0.29 FORI_GPS
14.2253 40.8779 5.64 -0.16 0.0 0.0 0.11 0.11 0.001 1.26 0.0 0.4 FRUL_GPS
13.9246 40.712 0.18 -1.54 0.0 0.0 0.14 0.14 0.001 -4.7 0.0 0.58 ISCY_GPS
14.0496 40.8764 -0.13 -0.34 0.0 0.0 0.14 0.14 0.001 0.26 0.0 0.43 LICO_GPS
14.083 40.8596 -3.1 2.96 0.0 0.0 0.34 0.43 0.001 4.61 0.0 1.68 MORU_GPS
14.163 40.7972 14.45 -13.33 0.0 0.0 0.2 0.18 0.001 10.2 0.0 0.48 NISI_GPS
13.9014 40.7467 2.56 -5.13 0.0 0.0 0.13 0.15 0.001 -3.62 0.0 0.6 OSCM_GPS
14.1437 40.8777 3.78 4.56 0.0 0.0 0.08 0.1 0.001 3.56 0.0 0.26 QUAR_GPS
14.1262 40.8233 3.52 6.43 0.0 0.0 0.08 0.14 0.001 34.26 0.0 0.56 RITE_GPS
13.9453 40.7234 0.64 -2.88 0.0 0.0 0.13 0.13 0.001 -2.93 0.0 0.41 SAN2_GPS
13.8952 40.7116 3.23 0.81 0.0 0.0 0.08 0.09 0.001 -6.6 0.0 0.32 SERY_GPS
14.1117 40.8351 -5.12 14.72 0.0 0.0 0.15 0.21 0.001 23.3 0.0 0.62 STRZ_GPS
14.1205 40.8558 0.5 12.26 0.0 0.0 0.1 0.2 0.001 11.57 0.0 0.52 VICY_GPS
14.2583 40.8474 6.31 -1.31 24.6 17.8 0.26 0.22 0.0 0.21 0.21 0.84 MAFE_GPS
14.2763 40.8589 4.46 -1.19 22.76 17.92 0.54 0.48 0.0 4.57 4.57 1.69 TAI1_GPS
14.4388 40.8185 1.61 -2.87 0.0 0.0 0.16 0.11 0.001 -7.71 0.0 0.42 BKE1_GPS
14.4105 40.7786 3.54 -2.16 0.0 0.0 0.12 0.16 0.001 -2.4 0.0 0.72 ONPI_GPS
14.3974 40.8279 4.34 -3.36 0.0 0.0 0.08 0.08 0.001 -2.41 0.0 0.34 OSVE_GPS
14.4939 40.7535 1.92 -2.17 0.0 0.0 0.3 0.36 0.001 1.04 0.0 1.27 POMP_GPS
14.4772 40.8494 2.63 -2.17 0.0 0.0 0.09 0.08 0.001 -1.52 0.0 0.34 PR0T_GPS
14.4122 40.8688 3.5 -2.6 0.0 0.0 0.07 0.09 0.001 -1.31 0.0 0.3 SAN1_GPS
14.8424 37.6584 -1.12 -4.66 0.0 0.0 0.16 0.18 0.001 2.39 0.0 0.48 ADRA_GPS
