Lon Lat E.vel N.vel E.adj N.adj E.sig N.sig Corr U.vel U.adj U.sig Stat
38.23 37.746 -3.6 -38.69 18.01 24.45 0.51 0.53 0.007 -0.4 -0.08 3.04 ADIY_GPS
30.561 38.738 -12.79 -58.09 3.39 8.93 0.29 0.25 -0.0 -0.29 0.04 3.0 AFYN_GPS
43.033 39.718 1.23 -42.06 27.24 14.3 0.42 0.47 -0.001 0.18 -0.16 3.0 AGRD_GPS
35.872 39.66 -14.47 -46.6 6.15 18.17 0.1 0.13 0.005 -0.05 -0.05 1.18 AKDG_GPS
31.43 38.369 -13.89 -59.28 3.57 7.58 0.27 0.27 -0.001 -2.29 0.03 3.0 AKHR_GPS
31.787 37.048 -4.64 -57.31 12.13 10.5 0.47 0.46 -0.0 -0.86 0.02 3.0 AKSI_GPS
33.998 38.37 -12.15 -49.65 6.74 15.99 0.11 0.11 0.006 -0.02 -0.02 3.03 AKSR_GPS
35.849 40.666 -9.9 -46.04 11.05 18.74 0.1 0.13 -0.003 -0.05 -0.05 1.23 AMAS_GPS
32.758 39.887 -16.42 -54.92 2.25 10.27 0.42 0.44 -0.0 0.14 -0.0 3.0 ANKR_GPS
32.865 36.069 -1.82 -52.43 15.62 13.69 0.24 0.26 0.006 -0.93 0.01 3.0 ANMU_GPS
32.846 39.856 -15.11 -53.72 3.39 12.46 0.14 0.17 -0.001 0.24 -0.0 0.73 ANRK_GPS
37.374 37.065 -2.62 -39.83 18.6 24.26 0.3 0.26 0.006 -4.2 -0.06 5.28 ANTE_GPS
30.666 36.888 -4.08 -59.86 11.92 7.24 0.18 0.23 0.007 -0.56 0.04 2.5 ANTL_GPS
42.699 41.111 0.5 -47.74 26.86 13.18 0.27 0.3 0.007 -0.16 -0.16 3.05 ARDH_GPS
38.487 39.041 -11.94 -41.93 10.45 21.41 0.14 0.19 -0.002 -1.96 -0.09 3.0 ARPK_GPS
58.56 56.43 -18.9 -42.78 25.21 6.25 0.13 0.14 0.022 0.25 -0.34 3.0 ARTU_GPS
41.818 41.175 5.43 -45.57 31.06 16.09 0.21 0.18 -0.001 -0.14 -0.14 3.0 ARTV_GPS
27.838 37.841 -10.53 -71.09 3.94 -2.99 0.24 0.24 0.009 -0.59 0.08 1.71 AYD1_GPS
26.686 39.311 -9.03 -67.0 4.89 1.56 0.26 0.26 -0.0 -0.45 0.09 0.99 AYVL_GPS
27.894 39.639 -11.44 -60.8 3.8 7.35 0.21 0.17 -0.0 0.05 0.07 1.26 BALK_GPS
27.975 40.349 -10.02 -59.06 4.2 9.0 0.41 0.35 -0.0 0.16 0.07 3.06 BAN1_GPS
27.997 40.331 -9.61 -60.32 5.36 7.73 0.21 0.33 -0.0 2.6 0.07 2.35 BAND_GPS
44.017 38.043 -3.36 -33.17 21.39 28.85 0.24 0.37 -0.0 -0.68 -0.17 3.01 BASK_GPS
40.191 40.25 1.72 -48.91 25.55 13.45 0.22 0.22 0.004 1.72 -0.12 9.54 BAYB_GPS
31.747 37.677 -8.5 -57.07 8.64 9.63 0.24 0.27 0.007 0.02 0.02 3.0 BEYS_GPS
29.977 40.141 -14.31 -57.81 2.19 9.36 0.13 0.18 0.008 0.06 0.04 3.0 BILE_GPS
40.501 38.885 -8.01 -39.39 15.52 22.51 0.48 0.46 0.006 1.69 -0.12 1.74 BING_GPS
35.255 39.194 -12.71 -47.29 7.42 17.4 0.15 0.35 -0.001 -0.04 -0.04 3.02 BOGZ_GPS
31.602 40.734 -5.55 -53.51 12.24 13.14 0.16 0.2 -0.001 0.78 0.01 3.02 BOLU_GPS
17.073 52.277 13.46 -55.29 20.09 14.64 0.14 0.09 -0.003 0.14 0.14 3.0 BOR1_GPS
34.797 41.461 2.55 -52.5 22.94 12.61 0.34 0.36 0.006 0.74 -0.04 2.68 BOYT_GPS
41.154 37.864 -3.86 -35.98 19.66 25.74 0.56 0.59 0.003 -3.44 -0.13 7.06 BTMN_GPS
29.015 40.214 -12.43 -57.93 3.45 10.06 0.2 0.2 -0.0 -1.18 0.05 2.06 BURS_GPS
