Lon,Lat,Stat,Num
42.4776,18.2435,ABHA_GPS,1
37.8094,8.9921,ABOO_GPS,2
45.0399,12.8123,ADEN_GPS,6
36.3777,26.4583,ALWJ_GPS,7
41.0346,30.951,ARRA_GPS,1
42.9038,18.5392,AS01_GPS,1
42.5984,19.9772,AS02_GPS,1
43.5293,19.5107,AS03_GPS,1
42.8187,19.4391,AS06_GPS,1
43.2893,18.8948,AS94_GPS,1
42.2754,19.5485,AS99_GPS,1
42.6544,13.0629,ASAB_GPS,6
37.924,26.6098,AULA_GPS,1
41.4682,20.0135,BAHA_GPS,1
50.6081,26.2091,BAHR_GPS,14
42.3641,27.9141,BAQA_GPS,1
37.3597,11.5998,BDMT_GPS,6
35.6721,28.5252,BEJD_GPS,1
41.0434,20.294,BH99_GPS,1
41.5297,18.2083,BIRK_GPS,1
42.6887,20.2535,BSHA_GPS,1
43.955,26.3512,BURD_GPS,1
42.3462,12.7031,DEBA_GPS,2
37.8939,13.1505,DEBK_GPS,2
44.392,14.571,DHMR_GPS,5
49.9692,26.8331,ES01_GPS,1
49.3082,27.3135,ES02_GPS,1
50.5227,25.2765,ES04_GPS,1
51.4409,24.5713,ES05_GPS,1
47.1623,28.9895,ES06_GPS,1
45.963,28.4311,ES07_GPS,1
47.6818,27.5118,ES08_GPS,1
49.4963,24.8934,ES09_GPS,1
48.9642,23.2988,ES10_GPS,1
50.186,22.9068,ES11_GPS,1
48.5081,27.4639,ES19_GPS,1
44.8933,27.8617,ES20_GPS,1
49.5658,25.3558,ES96_GPS,1
48.8339,25.8489,ES97_GPS,1
49.5308,26.2653,ES99_GPS,1
41.8583,9.6131,ETDD_GPS,3
41.3828,19.0426,GOOZ_GPS,5
42.543,16.8808,GZAN_GPS,2
41.6967,27.5218,HAIL_GPS,1
36.0999,29.1389,HALY_GPS,10
34.9428,29.2992,HAQE_GPS,1
34.9284,29.0553,HAQS_GPS,1
41.1795,27.3707,HL01_GPS,1
42.903,28.2409,HL02_GPS,1
43.0129,27.0695,HL03_GPS,1
40.818,25.9968,HL04_GPS,1
41.4924,26.8745,HL05_GPS,1
43.171,27.6073,HL06_GPS,1
42.2343,26.5749,HL95_GPS,1
42.1817,27.0292,HL96_GPS,1
42.4779,27.4327,HL97_GPS,1
35.0623,29.3004,HQLS_GPS,1
44.438,33.341,ISBA_GPS,7
44.011,36.16,ISER_GPS,4
44.353,32.013,ISNA_GPS,4
43.673,34.601,ISSD_GPS,4
39.631,21.3692,JEDD_GPS,5
42.1036,16.6992,JIZN_GPS,6
43.4358,13.3169,JNAR_GPS,5
40.1976,29.9618,JOUF_GPS,1
40.0197,29.7771,JW01_GPS,1
41.4432,29.2506,JW02_GPS,1
38.4268,29.7778,JW03_GPS,1
37.0957,31.4255,JW04_GPS,1
39.2889,29.9153,JW05_GPS,1
41.8211,16.829,JZ02_GPS,1
42.2269,17.6403,JZ03_GPS,1
42.6795,17.4915,JZ04_GPS,1
48.4608,28.484,KAFJ_GPS,1
47.971,29.325,KUWT_GPS,7
41.8291,19.0962,MAJR_GPS,5
42.1838,12.4159,MAN2_GPS,3
37.6064,24.3507,MD02_GPS,1
39.3013,25.6466,MD03_GPS,1
40.8928,23.4895,MD04_GPS,1
39.7155,24.4806,MD15_GPS,1
39.5453,23.217,MD99_GPS,1
39.2746,20.9886,MK01_GPS,1
39.0955,22.7611,MK02_GPS,1
41.0803,19.1679,MK03_GPS,1
40.5341,20.7071,MK04_GPS,1
40.4403,21.8307,MK05_GPS,1
42.0274,21.9067,MK06_GPS,1
42.35,23.4121,MK07_GPS,1
41.6678,22.9358,MK08_GPS,1
41.6952,20.7734,MK76_GPS,1
41.2028,20.9294,MK77_GPS,1
41.017,21.8785,MK82_GPS,1
40.2653,20.1325,MK85_GPS,1
40.139,20.8383,MK86_GPS,1
39.7213,20.4477,MK87_GPS,1
39.9154,21.1085,MK88_GPS,1
40.8343,21.3533,MK89_GPS,1
40.3977,21.2823,MK90_GPS,1
39.9563,21.5628,MK91_GPS,1
40.0218,22.0841,MK92_GPS,1
39.3715,21.9713,MK93_GPS,1
39.6294,22.579,MK94_GPS,1
38.842,23.1176,MK95_GPS,1
39.1135,22.2805,MK96_GPS,2
39.2429,21.5561,MK97_GPS,1
39.5401,21.4513,MK98_GPS,1
39.1282,21.762,MK99_GPS,1
49.1285,14.5438,MUKA_GPS,1
46.2324,24.4731,MUZH_GPS,1
42.0446,19.2114,NAMA_GPS,10
40.9099,31.0251,NB01_GPS,1
43.5554,29.6429,NB02_GPS,1
39.1982,32.1384,NB03_GPS,1
44.1942,17.5187,NJ01_GPS,1
44.205,18.5335,NJ02_GPS,1
45.1035,18.967,NJ03_GPS,1
51.1019,18.8979,NJ05_GPS,1
42.5559,11.6173,PGMD_GPS,6
42.8841,11.7891,PTDJ_GPS,5
50.1162,26.4256,QATD_GPS,1
37.9275,27.8551,QLAB_GPS,1
42.6454,25.1079,QS02_GPS,1
44.0945,26.992,QS04_GPS,1
42.1176,25.9484,QS06_GPS,1
